_id,Year/Année,Name/Nom,Frequency/Fréquence
247,1917,LILLIE,30
248,1917,LILLY,21
249,1917,LILY,49
250,1917,LINA,6
251,1917,LINDA,7
252,1917,LIZZIE,13
253,1917,LOIS,66
254,1917,LOLA,25
255,1917,LORA,6
256,1917,LORAINE,16
257,1917,LORENA,7
258,1917,LORENE,6
259,1917,LORETTA,41
260,1917,LORETTE,10
261,1917,LORETTO,6
262,1917,LORNA,49
263,1917,LORRAINE,25
264,1917,LOTTIE,21
265,1917,LOUISA,37
266,1917,LOUISE,55
267,1917,LUCIA,12
268,1917,LUCIENNE,8
269,1917,LUCILE,7
270,1917,LUCILLE,27
271,1917,LUCINDA,6
272,1917,LUCY,45
273,1917,LUELLA,23
274,1917,LULU,13
275,1917,LYDIA,13
276,1917,LYLA,13
277,1917,M,2755
278,1917,MABEL,185
279,1917,MABLE,36
280,1917,MADALINE,10
281,1917,MADELEINE,9
282,1917,MADELINE,58
283,1917,MAE,11
284,1917,MAGGIE,17
285,1917,MAJORIE,6
286,1917,MALVINA,6
287,1917,MARCELLA,8
288,1917,MARGARET,1385
289,1917,MARGARETT,9
290,1917,MARGARETTE,12
291,1917,MARGARITE,7
292,1917,MARGERY,27
293,1917,MARGORIE,10
294,1917,MARGORY,11
295,1917,MARGRET,16
296,1917,MARGUERIT,7
297,1917,MARGUERITE,136
298,1917,MARGURITE,10
299,1917,MARIA,76
300,1917,MARIAN,50
301,1917,MARIE,436
302,1917,MARION,326
303,1917,MARJORIE,294
304,1917,MARJORY,111
305,1917,MARTHA,86
306,1917,MARY,765
307,1917,MATILDA,19
308,1917,MAUD,16
309,1917,MAUDE,13
310,1917,MAVIS,8
311,1917,MAXINE,15
312,1917,MAY,81
313,1917,MELBA,9
314,1917,MELVA,7
315,1917,MERLE,10
316,1917,MILDRED,313
317,1917,MILLICENT,6
318,1917,MINA,14
319,1917,MINNIE,65
320,1917,MIRIAM,24
321,1917,MOLLIE,7
322,1917,MOLLY,7
323,1917,MONA,29
324,1917,MONICA,18
325,1917,MURIAL,7
326,1917,MURIEL,243
327,1917,MYRTLE,139
328,1917,NANCY,18
329,1917,NAOMI,9
330,1917,NELDA,11
331,1917,NELLIE,101
332,1917,NETTIE,17
333,1917,NINA,12
334,1917,NOELLA,9
335,1917,NORA,89
336,1917,NORAH,25
337,1917,NORINE,6
338,1917,NORMA,157
339,1917,OLGA,66
340,1917,OLIVE,200
341,1917,ONA,6
342,1917,ORA,8
343,1917,ORMA,14
344,1917,ORPHA,7
345,1917,PANSY,7
346,1917,PATRICIA,61
347,1917,PAULINE,42
348,1917,PEARL,127
349,1917,PHILLIS,26
350,1917,PHOEBE,9
