year,gender,name,freq
1917,Female,LAURETTA,11
1917,Female,LAURETTE,7
1917,Female,LAVINA,7
1917,Female,LEA,7
1917,Female,LEAH,19
1917,Female,LEILA,15
1917,Female,LEITA,6
1917,Female,LELA,8
1917,Female,LENA,69
1917,Female,LENORA,18
1917,Female,LENORE,9
1917,Female,LEOLA,9
1917,Female,LEONA,47
1917,Female,LEONE,6
1917,Female,LILA,30
1917,Female,LILIAN,76
1917,Female,LILLIAN,299
1917,Female,LILLIE,30
1917,Female,LILLY,21
1917,Female,LILY,49
1917,Female,LINA,6
1917,Female,LINDA,7
1917,Female,LIZZIE,13
1917,Female,LOIS,66
1917,Female,LOLA,25
1917,Female,LORA,6
1917,Female,LORAINE,16
1917,Female,LORENA,7
1917,Female,LORENE,6
1917,Female,LORETTA,41
1917,Female,LORETTE,10
1917,Female,LORETTO,6
1917,Female,LORNA,49
1917,Female,LORRAINE,25
1917,Female,LOTTIE,21
1917,Female,LOUISA,37
1917,Female,LOUISE,55
1917,Female,LUCIA,12
1917,Female,LUCIENNE,8
1917,Female,LUCILE,7
1917,Female,LUCILLE,27
1917,Female,LUCINDA,6
1917,Female,LUCY,45
1917,Female,LUELLA,23
1917,Female,LULU,13
1917,Female,LYDIA,13
1917,Female,LYLA,13
1917,Female,M,2755
1917,Female,MABEL,185
1917,Female,MABLE,36
1917,Female,MADALINE,10
1917,Female,MADELEINE,9
1917,Female,MADELINE,58
1917,Female,MAE,11
1917,Female,MAGGIE,17
1917,Female,MAJORIE,6
1917,Female,MALVINA,6
1917,Female,MARCELLA,8
1917,Female,MARGARET,1385
1917,Female,MARGARETT,9
1917,Female,MARGARETTE,12
1917,Female,MARGARITE,7
1917,Female,MARGERY,27
1917,Female,MARGORIE,10
1917,Female,MARGORY,11
1917,Female,MARGRET,16
1917,Female,MARGUERIT,7
1917,Female,MARGUERITE,136
1917,Female,MARGURITE,10
1917,Female,MARIA,76
1917,Female,MARIAN,50
1917,Female,MARIE,436
1917,Female,MARION,326
1917,Female,MARJORIE,294
1917,Female,MARJORY,111
1917,Female,MARTHA,86
1917,Female,MARY,765
1917,Female,MATILDA,19
1917,Female,MAUD,16
1917,Female,MAUDE,13
1917,Female,MAVIS,8
1917,Female,MAXINE,15
1917,Female,MAY,81
1917,Female,MELBA,9
1917,Female,MELVA,7
1917,Female,MERLE,10
1917,Female,MILDRED,313
1917,Female,MILLICENT,6
1917,Female,MINA,14
1917,Female,MINNIE,65
1917,Female,MIRIAM,24
1917,Female,MOLLIE,7
1917,Female,MOLLY,7
1917,Female,MONA,29
1917,Female,MONICA,18
1917,Female,MURIAL,7
1917,Female,MURIEL,243
1917,Female,MYRTLE,139
1917,Female,NANCY,18
1917,Female,NAOMI,9
1917,Female,NELDA,11
1917,Female,NELLIE,101
1917,Female,NETTIE,17
1917,Female,NINA,12
1917,Female,NOELLA,9
1917,Female,NORA,89
1917,Female,NORAH,25
1917,Female,NORINE,6
1917,Female,NORMA,157
1917,Female,OLGA,66
1917,Female,OLIVE,200
1917,Female,ONA,6
1917,Female,ORA,8
1917,Female,ORMA,14
1917,Female,ORPHA,7
1917,Female,PANSY,7
1917,Female,PATRICIA,61
1917,Female,PAULINE,42
1917,Female,PEARL,127
1917,Female,PHILLIS,26
1917,Female,PHOEBE,9
1917,Female,PHYLIS,19
1917,Female,PHYLISS,6
1917,Female,PHYLLIS,186
1917,Female,PRISCILLA,12
1917,Female,RACHAEL,10
1917,Female,RACHEL,33
1917,Female,RAY,6
1917,Female,REBECCA,27
1917,Female,REGINA,10
1917,Female,RENA,14
1917,Female,RETA,107
1917,Female,RETTA,13
1917,Female,REVA,8
1917,Female,RHEA,19
1917,Female,RHODA,21
1917,Female,RITA,80
1917,Female,ROBERTA,23
1917,Female,ROSA,31
1917,Female,ROSALIE,7
1917,Female,ROSE,151
1917,Female,ROSELLA,7
1917,Female,ROSEMARY,7
1917,Female,ROSETTA,12
1917,Female,ROSIE,25
1917,Female,ROSINA,15
1917,Female,RUBY,166
1917,Female,RUTH,412
1917,Female,SADIE,54
1917,Female,SARA,12
1917,Female,SARAH,171
1917,Female,SELINA,6
1917,Female,SELMA,9
1917,Female,SHIRLEY,37
1917,Female,SIMONE,12
1917,Female,SIMONNE,8
1917,Female,SOPHIA,15
1917,Female,SOPHIE,18
1917,Female,STELLA,81
1917,Female,STEPHANIA,10
1917,Female,STEPHANIE,8
1917,Female,SUSAN,15
1917,Female,SYBIL,14
1917,Female,SYLVIA,49
1917,Female,TERESA,20
1917,Female,THEDA,9
1917,Female,THELMA,187
1917,Female,THERESA,33
1917,Female,THORA,6
1917,Female,TILLIE,6
1917,Female,TOINI,6
1917,Female,UNA,9
1917,Female,VALERIE,6
1917,Female,VALMA,9
1917,Female,VELMA,83
1917,Female,VERA,232
1917,Female,VERDA,9
1917,Female,VERLA,8
1917,Female,VERNA,142
1917,Female,VERONA,6
1917,Female,VERONICA,33
1917,Female,VICTORIA,40
1917,Female,VIDA,12
1917,Female,VIMY,7
1917,Female,VINA,6
1917,Female,VIOLA,101
1917,Female,VIOLET,262
1917,Female,VIRGINIA,38
1917,Female,VIVIAN,58
1917,Female,WANDA,12
1917,Female,WILDA,11
1917,Female,WILHELMINA,8
1917,Female,WILMA,40
1917,Female,WINIFRED,43
1917,Female,WINNIFRED,121
1917,Female,YETTA,7
1917,Female,YVETTE,12
1917,Female,YVONNE,14
1917,Female,ZELMA,11
1918,Female,ADA,95
1918,Female,ADELAIDE,10
1918,Female,ADELE,15
1918,Female,ADELINE,19
1918,Female,AGNES,200
1918,Female,AILEEN,31
1918,Female,ALBERTA,34
1918,Female,ALBERTINE,6
1918,Female,ALETA,8
1918,Female,ALETHA,6
1918,Female,ALFREDA,8
1918,Female,ALICE,314
1918,Female,ALINE,10
1918,Female,ALMA,135
1918,Female,ALTA,12
1918,Female,ALVA,7
1918,Female,AMELIA,29
1918,Female,AMY,26
1918,Female,ANASTASIA,9
1918,Female,ANGELA,14
1918,Female,ANGELINA,20
1918,Female,ANIE,6
1918,Female,ANITA,23
1918,Female,ANN,31
1918,Female,ANNA,248
1918,Female,ANNE,55
1918,Female,ANNIE,429
1918,Female,ANTOINETTE,10
1918,Female,ARLENE,6
1918,Female,AUDREY,223
1918,Female,AUDRY,20
1918,Female,BARBARA,99
1918,Female,BEATRICE,228
1918,Female,BELLA,22
1918,Female,BELVA,6
1918,Female,BERNADETTE,14
1918,Female,BERNICE,87
1918,Female,BERTHA,128
1918,Female,BERYL,16
1918,Female,BESSIE,120
1918,Female,BETTY,89
1918,Female,BEULAH,35
1918,Female,BEVERLY,6
1918,Female,BLANCH,6
1918,Female,BLANCHE,58
1918,Female,BRIDGET,10
1918,Female,CARMEL,11
1918,Female,CARMELA,8
1918,Female,CARMEN,8
1918,Female,CAROLINE,38
1918,Female,CARRIE,21
1918,Female,CATHARINE,52
1918,Female,CATHERINE,174
1918,Female,CECELIA,11
1918,Female,CECIL,6
1918,Female,CECILE,37
1918,Female,CECILIA,23
1918,Female,CELIA,12
1918,Female,CELINA,6
1918,Female,CHARLOTTE,45
1918,Female,CHRISTENA,12
1918,Female,CHRISTINA,38
1918,Female,CHRISTINE,6
1918,Female,CLAIRE,10
1918,Female,CLARA,137
1918,Female,CLARE,7
1918,Female,CLARICE,10
1918,Female,CONSTANCE,50
1918,Female,CORA,34
1918,Female,DAISY,54
1918,Female,DELIA,11
1918,Female,DELLA,18
1918,Female,DELPHINE,6
1918,Female,DOLLY,8
1918,Female,DONALDA,11
1918,Female,DONNA,18
1918,Female,DORA,98
1918,Female,DORAS,6
1918,Female,DORATHY,9
1918,Female,DOREEN,27
1918,Female,DORIS,477
1918,Female,DOROTHEA,21
1918,Female,DOROTHY,1028
1918,Female,DORRIS,8
1918,Female,DORTHY,26
1918,Female,EDITH,387
1918,Female,EDNA,370
1918,Female,EDYTH,6
1918,Female,EDYTHE,15
1918,Female,EFFIE,32
1918,Female,EILEEN,109
1918,Female,ELAINE,10
1918,Female,ELDA,8
1918,Female,ELEANOR,155
1918,Female,ELEN,6
1918,Female,ELENA,8
1918,Female,ELENOR,13
1918,Female,ELINOR,11
1918,Female,ELISABETH,7
1918,Female,ELIZA,15
1918,Female,ELIZABETH,389
1918,Female,ELLA,77
