_id,Sample Number,Sample Date,PartialPostalCode,Lead Amount (ppm)
3411,1682812,2014-12-03,M6H,<0.00005
3412,1682787,2014-12-03,M1K,<0.00005
3413,1682926,2014-12-03,M5R,<0.00005
3414,1679657,2014-12-03,M5M,0.00285
3415,1682195,2014-12-03,M6C,0.00207
3416,1682813,2014-12-03,M6S,0.000167
3417,1682927,2014-12-03,M9M,0.00154
3418,1682929,2014-12-04,M8Y,<0.00005
3419,1682923,2014-12-04,M9A,<0.00005
3420,1682930,2014-12-04,M8Y,0.000174
3421,1682925,2014-12-04,M5S,0.0000798
3422,1682819,2014-12-04,M8X,<0.00005
3423,1682796,2014-12-05,M6P,0.000999
3424,1682821,2014-12-06,M6P,0.00517
3425,1682291,2014-12-07,M4J,0.00182
3426,1682278,2014-12-07,M5M,0.0000757
3427,1682822,2014-12-07,M9N,0.0000565
3428,1682928,2014-12-07,M9N,<0.00005
3429,1682915,2014-12-08,M6P,0.00110
3430,1682277,2014-12-08,M1R,<0.00005
3431,1682786,2014-12-08,M6S,0.00252
3432,1682275,2014-12-08,M2L,0.0000707
3433,1682266,2014-12-08,M4P,0.000703
3434,1682230,2014-12-08,M4P,0.000254
3435,1682292,2014-12-08,M4N,0.0000760
3436,1685641,2014-12-09,M4L,0.00175
3437,1686531,2014-12-09,M5P,0.000923
3438,1682922,2014-12-09,M4E,0.00347
3439,1691247,2014-12-10,M3M,0.000446
3440,1685639,2014-12-10,M9A,<0.00005
3441,1685668,2014-12-10,M8V,0.0000589
3442,1686534,2014-12-10,M4N,<0.00005
3443,1685703,2014-12-10,M8Y,0.0000617
3444,1686615,2014-12-10,M6N,0.000193
3445,1686613,2014-12-11,M4C,<0.00005
3446,1682846,2014-12-11,M9N,0.0000602
3447,1686658,2014-12-11,M4C,0.000254
3448,1685640,2014-12-12,M6S,0.00257
3449,1685704,2014-12-12,M8Y,0.00811
3450,1686642,2014-12-13,M3H,0.000136
3451,1685667,2014-12-13,M5J,0.000922
3452,1686630,2014-12-14,M4E,<0.00005
3453,1686524,2014-12-14,M6P,<0.00005
3454,1686547,2014-12-15,M2R,0.000153
3455,1686612,2014-12-15,M6S,0.00147
3456,1685661,2014-12-15,M9P,<0.00005
3457,1685702,2014-12-15,M4R,0.000247
3458,1686645,2014-12-15,M4K,0.0000545
3459,1686614,2014-12-15,M4C,0.000221
3460,1685701,2014-12-16,M3M,0.0000582
3461,1685678,2014-12-16,M1L,<0.00005
3462,1686656,2014-12-16,M2N,<0.00005
3463,1686646,2014-12-16,M4J,0.000120
3464,1685609,2014-12-16,M9C,0.00259
3465,1686532,2014-12-17,M6H,0.00116
3466,1687916,2014-12-17,M4M,0.00246
3467,1690472,2014-12-17,M4G,0.000226
3468,1690473,2014-12-18,M6S,0.00107
3469,1689450,2014-12-18,M9B,0.000377
3470,1691266,2014-12-18,M6C,0.00306
3471,1690329,2014-12-18,M6R,<0.00005
3472,1690347,2014-12-19,M6J,0.00801
3473,1686545,2014-12-19,M6H,<0.00005
3474,1689418,2014-12-19,M9A,<0.00005
3475,1690528,2014-12-20,M4C,0.000192
3476,1689421,2014-12-22,M4L,0.000207
3477,1689422,2014-12-22,M6J,0.0000521
3478,1689419,2014-12-22,M4M,0.000836
3479,1689448,2014-12-23,M6H,0.000811
3480,1694358,2014-12-23,M1P,0.000121
3481,1689416,2014-12-23,M5T,0.000342
3482,1691252,2014-12-24,M2N,0.0000960
3483,1689420,2014-12-29,M5A,0.0128
3484,1689449,2014-12-29,M4T,0.0000596
3485,1691254,2014-12-29,M5M,0.0128
3486,1690467,2014-12-29,M6G,0.000177
3487,1690442,2014-12-29,M4C,0.0000911
3488,1691249,2014-12-29,M5P,<0.00005
3489,1690515,2014-12-29,M4J,0.000288
3490,1691250,2014-12-30,M4G,0.000889
3491,1689417,2014-12-30,M4S,0.00289
3492,1691251,2014-12-30,M4C,0.000574
3493,1690474,2014-12-30,M4J,0.000623
3494,1690423,2014-12-30,M1L,<0.00005
3495,1694355,2014-12-30,M9A,<0.00005
3496,1690348,2014-12-30,M6S,0.000475
3497,1693950,2014-12-30,M5S,0.0000913
3498,1693949,2014-12-30,M4G,0.0000867
3499,1691248,2014-12-31,M5N,<0.00005
3500,1690402,2014-12-31,M6H,0.00151
3501,1692471,2015-01-02,M1N,0.00240
3502,1693930,2015-01-02,M4V,0.000523
3503,1692501,2015-01-02,M4J,0.0111
3504,1693939,2015-01-02,M6H,0.000677
3505,1693920,2015-01-02,M6R,0.0000501
3506,1693918,2015-01-02,M6J,0.000222
3507,1693820,2015-01-03,M6P,0.00261
3508,1692472,2015-01-05,M4J,<0.00005
3509,1694356,2015-01-05,M4J,0.000513
3510,1690349,2015-01-05,M6S,0.00679
3511,1693977,2015-01-05,M6H,0.0000733
3512,1690375,2015-01-05,M9R,0.000247
3513,1693915,2015-01-05,M2R,0.0000868
3514,1692469,2015-01-05,M4C,0.000355
3515,1692491,2015-01-05,M1N,0.00920
3516,1693931,2015-01-05,M6C,0.000491
3517,1693853,2015-01-05,M6C,0.000207
3518,1693929,2015-01-05,M6P,0.000225
3519,1691253,2015-01-06,M4R,0.000645
3520,1694320,2015-01-07,M8Y,0.0000964
3521,1693948,2015-01-07,M6E,0.0000983
3522,1692470,2015-01-07,M4C,0.00216
3523,1693833,2015-01-07,M1R,<0.00005
3524,1693927,2015-01-08,M5M,0.000143
3525,1695166,2015-01-08,M4K,0.000705
3526,1693934,2015-01-08,M6G,0.000228
3527,1693936,2015-01-09,M5M,0.00521
3528,1695164,2015-01-09,M4C,0.00201
3529,1693963,2015-01-09,M5M,0.000965
3530,1693919,2015-01-09,M4K,0.00133
3531,1695165,2015-01-09,M4T,0.0000653
3532,1696464,2015-01-12,M4K,0.343
3533,1697885,2015-01-13,M6S,0.00120
3534,1696822,2015-01-13,M4J,0.00157
3535,1695167,2015-01-13,M4E,0.00234
3536,1696470,2015-01-13,M5M,0.00284
3537,1697869,2015-01-13,M4S,0.000486
3538,1697871,2015-01-14,M6C,0.0000953
3539,1694327,2015-01-14,M8W,<0.00005
3540,1694319,2015-01-14,M9C,<0.00005
3541,1699720,2015-01-14,M4M,0.00133
3542,1697887,2015-01-15,M6E,0.00603
3543,1699719,2015-01-15,M4E,0.00194
3544,1696446,2015-01-15,M5P,0.0000967
3545,1697895,2015-01-15,M4J,0.185
3546,1696451,2015-01-15,M3N,0.00277
3547,1697883,2015-01-18,M6C,<0.00005
3548,1697870,2015-01-19,M6P,0.000777
3549,1696829,2015-01-19,M4N,0.00126
3550,1696808,2015-01-19,M4P,0.000320
3551,1697890,2015-01-20,M4M,0.00255
3552,1699882,2015-01-20,M6S,0.000104
3553,1697889,2015-01-20,M4L,0.00386
3554,1699404,2015-01-20,M4R,0.00130
3555,1701243,2015-01-21,M6G,0.00134
3556,1701240,2015-01-21,M5A,<0.00005
3557,1700561,2015-01-21,M8V,0.0000647
3558,1697848,2015-01-21,M4E,0.000429
3559,1699729,2015-01-22,M4G,0.0000615
3560,1699403,2015-01-22,M2N,<0.00005
3561,1699402,2015-01-23,M6C,0.000122
3562,1699880,2015-01-23,M4C,0.000532
3563,1700546,2015-01-23,M6J,0.000369
3564,1701244,2015-01-23,M4P,0.00521
3565,1701275,2015-01-25,M6G,0.000105
3566,1701241,2015-01-25,M6G,0.000236
3567,1700500,2015-01-26,M6G,<0.00005
3568,1699732,2015-01-26,M4P,0.0000633
3569,1700569,2015-01-26,M8Y,0.000414
3570,1700562,2015-01-26,M6P,<0.00005
3571,1701252,2015-01-26,M5M,<0.00005
3572,1700498,2015-01-27,M4S,0.000314
3573,1700572,2015-01-27,M5A,0.000950
3574,1700544,2015-01-27,M6H,0.0000792
3575,1700570,2015-01-27,M6P,0.000729
3576,1702199,2015-01-27,M9C,<0.00005
3577,1700545,2015-01-27,M6C,0.00102
3578,1704087,2015-01-27,M5M,0.000160
3579,1704176,2015-01-27,M5M,0.0000740
3580,1700499,2015-01-28,M1H,<0.00005
3581,1700568,2015-01-28,M4G,<0.00005
3582,1701250,2015-01-28,M5R,0.00331
3583,1700571,2015-01-28,M4K,0.00108
3584,1701242,2015-01-28,M5M,0.000230
3585,1702185,2015-01-29,M5N,<0.00005
3586,1707087,2015-01-29,M6H,0.000307
3587,1702767,2015-01-29,M4W,<0.00005
3588,1702770,2015-01-30,M4C,0.000545
3589,1702169,2015-01-30,M9A,<0.00005
3590,1702768,2015-01-30,M6J,<0.00005
3591,1702168,2015-01-30,M6C,0.00192
3592,1702170,2015-01-30,M6H,0.0000850
3593,1702165,2015-01-31,M6G,0.000849
3594,1704089,2015-02-02,M5M,0.0000772
3595,1702166,2015-02-02,M6E,0.00267
3596,1702167,2015-02-02,M6S,0.247
3597,1704086,2015-02-02,M6P,0.000715
3598,1707070,2015-02-03,M6R,0.00235
3599,1702769,2015-02-03,M4C,<0.00005
3600,1707091,2015-02-04,M6S,0.000985
3601,1703221,2015-02-04,M4J,0.000210
3602,1703222,2015-02-04,M5P,0.0000651
3603,1704088,2015-02-05,M5M,0.0000503
3604,1705273,2015-02-05,M4J,<0.00005
3605,1706552,2015-02-06,M3H,0.0000524
3606,1707084,2015-02-06,M6N,0.00204
3607,1707088,2015-02-06,M6C,0.000125
3608,1706246,2015-02-08,M3L,<0.00005
3609,1706553,2015-02-09,M1N,<0.00005
3610,1707934,2015-02-09,M4L,<0.00005
3611,1707949,2015-02-09,M4L,0.000917
3612,1705278,2015-02-09,M5S,0.00655
3613,1707944,2015-02-09,M4L,<0.00005
3614,1705488,2015-02-09,,0.00402
3615,1705276,2015-02-09,M4J,0.00207
3616,1707948,2015-02-09,M4V,0.00271
3617,1707073,2015-02-10,M6S,0.000127
3618,1707951,2015-02-10,M6E,0.000697
3619,1707945,2015-02-10,M6C,0.0124
3620,1707950,2015-02-10,M4K,0.000741
3621,1707068,2015-02-10,M4C,0.000533
3622,1706244,2015-02-11,M4R,0.000719
3623,1705275,2015-02-11,M4C,0.000136
3624,1705274,2015-02-11,M4E,0.0000870
3625,1705277,2015-02-11,M4E,<0.00005
3626,1707947,2015-02-12,M4C,0.000764
3627,1707061,2015-02-12,M4J,<0.00005
3628,1707097,2015-02-12,M1N,0.00156
3629,1707090,2015-02-12,M6R,<0.00005
3630,1707089,2015-02-13,M4J,0.000137
3631,1707069,2015-02-13,M4C,0.000817
3632,1707071,2015-02-17,M4C,<0.00005
3633,1713910,2015-02-17,M5M,<0.00005
3634,1707086,2015-02-17,M4C,<0.00005
3635,1714168,2015-02-18,M4R,0.00304
3636,1707946,2015-02-18,M6N,0.000126
3637,1708582,2015-02-18,M6G,<0.00005
3638,1708926,2015-02-20,M5N,0.000120
3639,1711468,2015-02-20,M9A,0.0000692
3640,1708581,2015-02-23,M4K,0.000251
3641,1714169,2015-02-23,M6C,0.000712
3642,1708728,2015-02-23,M6H,0.000250
3643,1711471,2015-02-23,M4W,0.000221
3644,1712333,2015-02-24,M1N,0.000213
3645,1711469,2015-02-24,M5R,<0.00005
3646,1712332,2015-02-24,M4E,0.000782
3647,1714170,2015-02-25,M4M,0.000306
3648,1712329,2015-02-25,M4C,0.00122
3649,1711472,2015-02-26,M5A,0.00383
3650,1714174,2015-02-26,M4P,0.00488
3651,1712323,2015-02-26,M4K,<0.00005
3652,1719235,2015-02-26,M6P,<0.00005
3653,1712325,2015-02-26,M4T,<0.00005
3654,1711146,2015-02-27,M6R,<0.00005
3655,1711159,2015-02-27,M6P,0.00361
3656,1713907,2015-02-27,M4R,0.00226
3657,1712324,2015-02-27,M4C,<0.00005
3658,1711140,2015-02-27,M6S,0.00554
3659,1714167,2015-03-01,M6P,0.0000503
3660,1711160,2015-03-02,M6H,0.928
3661,1714173,2015-03-02,M4R,<0.00005
3662,1711138,2015-03-02,M6R,0.000388
3663,1713913,2015-03-02,M2N,0.0000649
3664,1712326,2015-03-02,M4C,0.00146
3665,1711153,2015-03-02,M6R,0.00101
3666,1713909,2015-03-02,M5N,0.0000816
3667,1714177,2015-03-02,M4R,<0.00005
3668,1716670,2015-03-03,M6H,0.000409
3669,1711470,2015-03-03,M5A,<0.00005
3670,1713963,2015-03-03,M6P,<0.00005
3671,1713911,2015-03-03,M4K,<0.00005
3672,1712545,2015-03-03,M4K,<0.00005
3673,1712328,2015-03-03,M4C,0.0000516
3674,1712331,2015-03-04,M4L,0.00145
3675,1712327,2015-03-04,M4C,0.000128
3676,1714166,2015-03-04,M6C,0.00232
3677,1712330,2015-03-04,M4K,0.000103
3678,1713908,2015-03-05,M6N,0.000435
3679,1714172,2015-03-06,M4N,<0.00005
3680,1713961,2015-03-06,M3H,<0.00005
3681,1714375,2015-03-07,M8V,0.000135
3682,1733231,2015-03-07,M6S,0.000104
3683,1714171,2015-03-08,M4K,0.000187
3684,1713959,2015-03-09,M5R,0.0000572
3685,1713912,2015-03-09,M6K,0.00372
3686,1714380,2015-03-09,M6S,<0.00005
3687,1716667,2015-03-09,M5M,<0.00005
3688,1716664,2015-03-10,M4P,0.0516
3689,1714381,2015-03-10,M8V,0.000131
3690,1716637,2015-03-10,M6K,0.000102
3691,1713906,2015-03-10,M6H,0.000294
3692,1716672,2015-03-11,M6J,0.000212
3693,1716678,2015-03-11,M4L,0.00430
3694,1716666,2015-03-11,M6N,0.000470
3695,1716680,2015-03-12,M6R,0.0000569
3696,1717087,2015-03-12,M8V,0.000263
3697,1715667,2015-03-13,M6H,0.771
3698,1716679,2015-03-13,M6G,0.000123
3699,1717788,2015-03-13,M4C,0.0000756
3700,1717099,2015-03-13,M8Y,0.0000709
3701,1717787,2015-03-13,M4L,0.000790
3702,1719252,2015-03-14,M4C,0.000827
3703,1724189,2015-03-15,M6S,0.00217
3704,1719239,2015-03-15,M4L,0.000365
3705,1716685,2015-03-15,M6C,<0.00005
3706,1716644,2015-03-15,M6M,0.00395
3707,1716639,2015-03-15,M9P,<0.00005
3708,1717789,2015-03-16,M4M,0.00158
3709,1717786,2015-03-16,M4B,<0.00005
3710,1719676,2015-03-17,M4N,0.000250
3711,1717791,2015-03-17,M4J,<0.00005
3712,1719232,2015-03-17,M6J,0.000502
3713,1719275,2015-03-17,M6P,<0.00005
3714,1717792,2015-03-17,M4L,0.000308
3715,1719681,2015-03-18,M8Y,0.0000798
3716,1731112,2015-03-18,M6G,0.000192
3717,1717785,2015-03-18,M4K,0.000207
3718,1717790,2015-03-18,M4T,0.00561
3719,1719251,2015-03-18,M6P,0.000454
3720,1719276,2015-03-20,M6P,0.000520
3721,1719277,2015-03-20,M6P,0.000809
3722,1733094,2015-03-21,M9N,0.000168
3723,1723699,2015-03-23,M4P,<0.00005
3724,1719236,2015-03-23,M6R,<0.00005
3725,1722205,2015-03-23,M5R,<0.00005
3726,1720595,2015-03-24,M4G,0.00359
3727,1723701,2015-03-24,M5M,0.00107
3728,1720598,2015-03-24,M4B,<0.00005
3729,1719675,2015-03-24,M1P,0.0000798
3730,1720597,2015-03-24,M4G,0.00105
3731,1722210,2015-03-24,M6G,0.00157
3732,1726421,2015-03-24,M1E,<0.00005
3733,1720596,2015-03-25,M4A,0.000686
3734,1722209,2015-03-25,M4K,0.00180
3735,1720594,2015-03-25,M4E,0.000788
3736,1722206,2015-03-27,M5M,0.00233
3737,1722208,2015-03-27,M6C,0.000769
3738,1722203,2015-03-27,M5K,0.0000604
3739,1723341,2015-03-28,M4T,0.00167
3740,1723344,2015-03-29,M4C,0.00175
3741,1722207,2015-03-30,M9B,0.000898
3742,1722204,2015-03-30,M6H,0.00175
3743,1723700,2015-03-30,M4N,0.000631
3744,1723345,2015-03-30,M4E,0.000456
3745,1723702,2015-03-30,M4N,<0.00005
3746,1723343,2015-03-30,M4C,0.000372
3747,1725034,2015-03-31,M4L,<0.00005
3748,1724173,2015-04-01,M4M,0.000520
3749,1723346,2015-04-01,M4L,0.000874
3750,1733224,2015-04-01,M6R,<0.00005
3751,1724219,2015-04-01,M4T,<0.00005
3752,1733080,2015-04-01,M6H,0.00280
3753,1723342,2015-04-01,M4K,0.000282
3754,1724172,2015-04-01,M5R,0.000558
3755,1724175,2015-04-02,M8Y,0.000740
3756,1724217,2015-04-02,M4V,0.000474
3757,1724209,2015-04-02,M8W,0.00179
3758,1724429,2015-04-02,M4L,<0.00005
3759,1726143,2015-04-02,M6J,0.000803
3760,1724210,2015-04-04,M4E,0.000332
3761,1724427,2015-04-06,M4J,0.000675
3762,1728742,2015-04-06,M2N,<0.00005
3763,1725032,2015-04-07,M4E,0.0000727
3764,1724174,2015-04-08,M8V,<0.00005
3765,1727409,2015-04-08,M6S,0.000176
3766,1724426,2015-04-08,M4L,0.000722
3767,1726424,2015-04-08,M6S,0.00189
3768,1725020,2015-04-08,M4C,<0.00005
3769,1726141,2015-04-08,M6J,0.00136
3770,1726139,2015-04-08,M6C,0.0000511
3771,1733451,2015-04-09,M4M,0.00136
3772,1726136,2015-04-09,M6S,0.000255
3773,1726142,2015-04-09,M5M,0.0000967
3774,1728743,2015-04-09,M5M,0.000254
3775,1726140,2015-04-10,M4M,0.000491
3776,1727408,2015-04-10,M4C,0.000144
3777,1727406,2015-04-10,M6E,<0.00005
3778,1736505,2015-04-10,M6J,0.00177
3779,1727407,2015-04-12,M4E,<0.00005
3780,1726138,2015-04-12,M6J,0.00112
3781,1726144,2015-04-12,M4S,0.000134
3782,1726137,2015-04-13,M4G,0.000643
3783,1726135,2015-04-13,M6P,0.000340
3784,1727405,2015-04-14,M4K,0.00112
3785,1729221,2015-04-14,M8W,0.00311
3786,1726423,2015-04-14,M8Z,<0.00005
3787,1729223,2015-04-14,M6S,0.0158
3788,1728828,2015-04-14,M8V,0.00132
3789,1728740,2015-04-14,M5M,0.00175
3790,1727410,2015-04-14,M4M,0.0182
3791,1728855,2015-04-14,M2M,<0.00005
3792,1727404,2015-04-14,M4E,0.00137
3793,1728739,2015-04-14,M5S,0.00922
3794,1726422,2015-04-15,M6R,0.00161
3795,1726420,2015-04-15,M6M,<0.00005
3796,1727411,2015-04-15,M4J,0.00156
3797,1733134,2015-04-15,M9B,<0.00005
3798,1733105,2015-04-15,M4K,<0.00005
3799,1729222,2015-04-15,M9C,0.000365
3800,1728798,2015-04-16,M4V,0.000133
3801,1728848,2015-04-16,M4T,0.000879
3802,1728738,2015-04-16,M6G,0.000824
3803,1728749,2015-04-17,M5G,0.00102
3804,1731711,2015-04-19,M4R,0.000411
3805,1728737,2015-04-19,M4L,0.0000806
3806,1728858,2015-04-20,M6S,0.000611
3807,1730032,2015-04-20,M4B,<0.00005
3808,1728741,2015-04-20,M6R,<0.00005
3809,1730014,2015-04-21,M4C,0.338
3810,1728751,2015-04-21,M6E,0.00237
3811,1731381,2015-04-21,M5V,0.000163
3812,1730030,2015-04-21,M4L,0.000463
3813,1730019,2015-04-21,M4M,0.000171
3814,1730024,2015-04-21,M4M,0.00374
3815,1733239,2015-04-21,M6J,0.000877
3816,1733452,2015-04-21,M6G,<0.00005
3817,1733135,2015-04-21,M5R,0.000808
3818,1731710,2015-04-22,M9A,0.000122
3819,1730027,2015-04-22,M4B,<0.00005
3820,1730034,2015-04-22,M4M,<0.00005
3821,1730035,2015-04-22,M4E,0.000822
3822,1731384,2015-04-22,M2K,0.0000636
3823,1733095,2015-04-22,M4X,<0.00005
3824,1731385,2015-04-23,M4B,0.0000613
3825,1731387,2015-04-23,M4K,0.000882
3826,1731382,2015-04-23,M4J,<0.00005
3827,1740925,2015-04-23,M4C,<0.00005
3828,1731709,2015-04-24,M1J,0.0000572
3829,1733453,2015-04-27,M6R,<0.00005
3830,1731383,2015-04-27,M4E,<0.00005
3831,1731380,2015-04-27,M4J,0.0102
3832,1733131,2015-04-27,M1L,<0.00005
3833,1733099,2015-04-27,M3H,<0.00005
3834,1733730,2015-04-28,M4C,<0.00005
3835,1732548,2015-04-28,M4L,0.000321
3836,1732549,2015-04-28,M4E,0.00117
3837,1732547,2015-04-28,M4L,0.000437
3838,1733237,2015-04-28,M6M,0.00489
3839,1735276,2015-04-29,M4J,0.000311
3840,1733098,2015-04-29,M5M,0.000182
3841,1733233,2015-04-29,M6E,<0.00005
3842,1733894,2015-04-30,M6G,0.00111
3843,1734320,2015-04-30,M8Z,0.000339
3844,1734321,2015-05-01,M9A,<0.00005
3845,1733892,2015-05-01,M6P,0.000933
3846,1733896,2015-05-03,M6R,0.0000678
3847,1733893,2015-05-03,M6S,0.00186
3848,1733895,2015-05-04,M4K,0.00124
3849,1737779,2015-05-05,M5M,0.00214
3850,1735277,2015-05-05,M4X,0.00215
3851,1740444,2015-05-05,M4K,0.0000619
3852,1735292,2015-05-05,M8X,0.000398
3853,1735274,2015-05-06,M4G,<0.00005
3854,1736510,2015-05-06,M6P,0.000865
3855,1736514,2015-05-06,M6J,0.0000835
3856,1740920,2015-05-06,M4L,0.00283
3857,1740467,2015-05-06,M8W,0.0000545
3858,1740457,2015-05-06,M9A,0.00110
3859,1735278,2015-05-06,M4M,0.0000811
3860,1740455,2015-05-06,M8Y,0.0000710
3861,1736506,2015-05-06,M6G,0.000481
3862,1736509,2015-05-07,M2M,<0.00005
3863,1735650,2015-05-07,M2H,<0.00005
3864,1737777,2015-05-10,M4K,0.000161
3865,1736516,2015-05-11,M4P,0.0000637
3866,1736508,2015-05-11,M6S,0.000775
3867,1736515,2015-05-11,M6B,0.00112
3868,1736511,2015-05-11,M3H,<0.00005
3869,1737776,2015-05-12,M4K,0.00100
3870,1736512,2015-05-12,M5S,0.000479
3871,1740458,2015-05-12,M6S,0.000415
3872,1736507,2015-05-12,M4K,0.000265
3873,1737778,2015-05-12,M4J,0.0000884
3874,1737781,2015-05-13,M4K,0.000600
3875,1740456,2015-05-13,M6R,0.000575
3876,1736513,2015-05-13,M1B,0.00568
3877,1740419,2015-05-13,M6S,<0.00005
3878,1740451,2015-05-13,M6C,0.000395
3879,1737780,2015-05-13,M4K,0.000588
3880,1742647,2015-05-13,M6S,0.000487
3881,1737782,2015-05-13,M4C,0.000409
3882,1740447,2015-05-13,M6E,0.00182
3883,1740901,2015-05-14,M1L,0.000117
3884,1740446,2015-05-14,M6R,0.000204
3885,1740448,2015-05-14,M8Y,0.000797
3886,1740919,2015-05-14,M4K,<0.00005
3887,1740465,2015-05-14,M6E,0.00727
3888,1740395,2015-05-15,M6R,0.000996
3889,1740394,2015-05-15,M4N,0.00262
3890,1740922,2015-05-15,M4J,0.00109
3891,1740445,2015-05-15,M6R,0.00287
3892,1742078,2015-05-18,M6S,0.00246
3893,1740923,2015-05-19,M6E,<0.00005
3894,1740924,2015-05-20,M4J,0.00627
3895,1740479,2015-05-20,M6H,0.0000618
3896,1740476,2015-05-20,M4W,0.000283
3897,1742069,2015-05-20,M6P,0.000547
3898,1742115,2015-05-20,M6K,<0.00005
3899,1740926,2015-05-20,M4M,0.00198
3900,1742064,2015-05-21,M4W,0.0000688
3901,1742068,2015-05-21,M6P,0.000128
3902,1742090,2015-05-21,M6J,0.000309
3903,1742159,2015-05-21,M6H,0.000210
3904,1742065,2015-05-21,M6M,0.00106
3905,1742648,2015-05-21,M9A,0.0000773
3906,1742123,2015-05-21,M6P,0.000189
3907,1742071,2015-05-21,M5P,<0.00005
3908,1742129,2015-05-21,M6P,0.000168
3909,1742067,2015-05-21,M5M,0.00146
3910,1743754,2015-05-21,M4K,0.000106
3911,1742125,2015-05-22,M4K,0.0000551
3912,1743759,2015-05-22,M4C,0.0000968
3913,1745534,2015-05-24,M5R,0.000487
3914,1743760,2015-05-25,M4C,0.0000980
3915,1742163,2015-05-25,M6C,0.000660
3916,1743757,2015-05-25,M4C,0.00213
3917,1743756,2015-05-25,M4J,0.0000982
3918,1742646,2015-05-25,M9V,0.000918
3919,1742066,2015-05-25,M4N,0.0000518
3920,1743758,2015-05-26,M4G,0.00306
3921,1743755,2015-05-26,M4J,0.000104
3922,1742063,2015-05-26,M6R,<0.00005
3923,1748492,2015-05-27,M4G,0.0000583
3924,1745532,2015-05-28,M6H,0.0000647
3925,1747389,2015-05-28,M4C,0.00371
3926,1747388,2015-05-28,M4L,0.000350
3927,1745907,2015-05-28,M8Y,0.0000674
3928,1753143,2015-05-28,M1R,0.00106
3929,1747387,2015-05-29,M1R,0.000215
3930,1753145,2015-05-29,M1J,0.000247
3931,1745537,2015-05-29,M1L,0.00147
3932,1745906,2015-05-30,M8W,<0.00005
3933,1747386,2015-05-31,M4J,0.000954
3934,1745531,2015-05-31,M6N,0.00314
3935,1745533,2015-06-01,M6H,0.00108
3936,1745905,2015-06-01,M8X,0.000132
3937,1745536,2015-06-01,M6S,0.00258
3938,1748505,2015-06-01,M4R,0.00192
3939,1745535,2015-06-02,M6J,0.00751
3940,1748491,2015-06-03,M6G,0.00104
3941,1748504,2015-06-03,M6P,0.00483
3942,1748493,2015-06-04,M5M,0.0473
3943,1748506,2015-06-04,M4C,0.000349
3944,1748579,2015-06-04,M6G,<0.00005
3945,1749842,2015-06-05,M4L,<0.00005
3946,1753146,2015-06-05,M2L,0.000473
3947,1748494,2015-06-05,M6R,0.0000722
3948,1752196,2015-06-05,M8Y,0.0000633
3949,1748502,2015-06-05,M6R,0.000588
3950,1749851,2015-06-05,M4L,0.0000658
3951,1748503,2015-06-05,M6S,0.000159
3952,1752204,2015-06-07,M6A,<0.00005
3953,1766051,2015-06-07,M4K,0.000433
3954,1749875,2015-06-07,M4J,0.000889
3955,1748501,2015-06-08,M4E,0.00162
3956,1749840,2015-06-08,M4J,0.0000808
3957,1749843,2015-06-08,M4J,0.000176
3958,1752201,2015-06-08,M8V,<0.00005
3959,1751443,2015-06-09,M4K,0.000202
3960,1751424,2015-06-09,M4L,0.000136
3961,1751417,2015-06-09,M2L,0.00232
3962,1749864,2015-06-10,M4C,0.0000930
3963,1749841,2015-06-10,M4J,0.00202
3964,1751442,2015-06-10,M4M,<0.00005
3965,1752205,2015-06-11,M9C,0.0000534
3966,1751425,2015-06-11,M6C,0.000122
3967,1757248,2015-06-11,M4M,<0.00005
3968,1751454,2015-06-11,M8V,0.000308
3969,1751418,2015-06-12,M6P,0.00192
3970,1751407,2015-06-12,M6P,0.000805
3971,1751420,2015-06-12,M6H,0.000847
3972,1751408,2015-06-12,M6P,0.000860
3973,1751409,2015-06-12,M6P,0.000297
3974,1751421,2015-06-14,M2H,<0.00005
3975,1751449,2015-06-14,M6S,0.00122
3976,1751406,2015-06-14,M4E,0.000499
3977,1751451,2015-06-14,M5S,0.000650
3978,1751419,2015-06-15,M8V,0.000154
3979,1753127,2015-06-15,M4E,0.000624
3980,1757245,2015-06-15,M5A,0.000665
3981,1752239,2015-06-15,M9A,<0.00005
3982,1753128,2015-06-15,M4M,0.0000808
3983,1753129,2015-06-16,M4M,<0.00005
3984,1757242,2015-06-16,M4K,0.000133
3985,1755398,2015-06-16,M8V,0.000908
3986,1758476,2015-06-17,M5M,0.0000775
3987,1757251,2015-06-17,M6J,0.00363
3988,1757244,2015-06-18,M5M,<0.00005
3989,1755397,2015-06-18,M1M,0.000104
3990,1755408,2015-06-18,M6E,0.00280
3991,1755406,2015-06-18,M4B,0.000196
3992,1755410,2015-06-19,M4E,0.000237
3993,1755411,2015-06-19,M6R,0.0248
3994,1755405,2015-06-19,M4J,0.0000545
3995,1755768,2015-06-22,M4A,<0.00005
3996,1755409,2015-06-23,M6P,0.0000757
3997,1755407,2015-06-23,M6S,0.00105
3998,1765612,2015-06-24,M4K,0.00835
3999,1758475,2015-06-25,M5R,0.000163
4000,1758473,2015-06-29,M4T,0.00148
4001,1758474,2015-06-29,M6S,0.00241
4002,1761336,2015-06-29,M2K,<0.00005
4003,1758472,2015-06-30,M5N,0.00129
4004,1761337,2015-06-30,M5N,0.00101
4005,1761495,2015-07-02,M4N,<0.00005
4006,1773450,2015-07-02,M1G,0.0000905
4007,1761497,2015-07-02,M6P,0.000270
